"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","21","testcases","test_mock","","","","test_get_user_detail","测试获取用户详细信息API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","18","testcases","test_mock","","","","test_create_order","测试创建订单API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","16","testcases","test_mock","","","","test_get_user","测试获取单个用户API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","14","testcases","test_mock","","","","test_create_user","测试创建用户API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","15","testcases","test_mock","","","","test_get_product","测试获取单个产品API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","16","testcases","test_mock","","","","test_get_comments","测试获取评论列表API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","22","testcases","test_mock","","","","test_upload_avatar","测试上传头像API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","17","testcases","test_mock","","","","test_get_system_status","测试获取系统状态API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","12","testcases","test_mock","","","","test_update_order_status","测试更新订单状态API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","17","testcases","test_mock","","","","test_add_product_comment","测试添加产品评论API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","19","testcases","test_mock","","","","test_get_products","测试获取产品列表API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","48","testcases","test_mock","","","","test_delete_comment","测试删除评论API"
"passed","Tue Sep 16 14:03:52 CST 2025","Tue Sep 16 14:03:52 CST 2025","23","testcases","test_mock","","","","test_get_users","测试获取用户列表API"
